date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-03,9,Fixed-All Over JH-10,Fixed,1800,1737,AM Nayatoli RNC,384,06:24,360,480,06:00,08:00,1737
2026-01-03,10,Fixed-All Over JH-11,Fixed,1800,1798,AM New Nutan Nagar HZB,540,09:00,540,660,09:00,11:00,1312
2026-01-03,10,Fixed-All Over JH-11,Fixed,1800,1798,AM New Itki Rd ITI Bus Stand RNC,693,11:33,660,780,11:00,13:00,1798
2026-01-03,11,Fixed-All Over JH-12,Fixed,1800,1717,AM Dimna Paridih Rd Dimna JSR,432,07:12,420,540,07:00,09:00,447
2026-01-03,11,Fixed-All Over JH-12,Fixed,1800,1717,AM New Rd No 1 Sankosai JSR,451,07:31,480,600,08:00,10:00,772
2026-01-03,11,Fixed-All Over JH-12,Fixed,1800,1717,AM Zakirnagar New JSR,470,07:50,600,720,10:00,12:00,1460
2026-01-03,11,Fixed-All Over JH-12,Fixed,1800,1717,AM Kendih Main Rd Kapali JSR,489,08:09,540,660,09:00,11:00,1717
2026-01-03,12,Fixed-All Over JH-13,Fixed,1800,1718,ASM Adalhatu Morabadi,460,07:40,420,540,07:00,09:00,1081
2026-01-03,12,Fixed-All Over JH-13,Fixed,1800,1718,AM Kanke Block RNC,480,08:00,480,600,08:00,10:00,1718
2026-01-03,13,Fixed-All Over JH-14,Fixed,1800,1712,AM Babugaoun Chowk New HZB,488,08:08,480,600,08:00,10:00,1519
2026-01-03,13,Fixed-All Over JH-14,Fixed,1800,1712,AM Ratu Rd Kamre RNC,696,11:36,720,840,12:00,14:00,1712
2026-01-03,14,Fixed-All Over JH-15,Fixed,1800,1695,AM Old Argora RNC,660,11:00,660,780,11:00,13:00,531
2026-01-03,14,Fixed-All Over JH-15,Fixed,1800,1695,AM Khunti Road Tupudana Chowk RNC,694,11:34,720,840,12:00,14:00,1695
2026-01-03,15,Fixed-All Over JH-16,Fixed,1800,1514,AM Mahaveer Trade Center Gamharia JSR,446,07:26,420,540,07:00,09:00,272
